step,q_pred_mean,return_realised,bias_ratio_mean,bias_ratio_std,n_episodes
25000,241.977473,-0.653045,-409.306266,123.094622,3
50000,350.905589,-3.961436,-2826.051752,3769.587110,3
75000,377.620778,-2.926081,3798.528887,5494.793240,3
100000,378.901082,-7.223104,-62.589150,28.202829,3
125000,377.594737,-4.775979,-88.674725,28.685018,3
150000,308.342875,-2.480982,-219.269567,164.115775,3
175000,-511.767751,-2.194733,233.859824,14.385569,3
200000,-6815.181803,-3.402932,2011.247450,150.440976,3
225000,-45053.395833,-26.880410,1984.451616,887.786260,3
250000,-164134.786458,-21.024298,8067.412142,1471.345353,3
