step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,185.2267,221.6472,-36.4205,-16.43,-3.8171,-88.6589
50000,206.8765,222.1836,-15.3071,-6.89,-3.2487,-88.8735
75000,209.9216,218.2431,-8.3215,-3.81,-2.2259,-87.2972
100000,211.3764,223.0427,-11.6663,-5.23,-1.4965,-89.2171
125000,210.1709,223.3827,-13.2119,-5.91,-2.3468,-89.3531
150000,210.5546,223.0170,-12.4623,-5.59,-2.6561,-89.2068
175000,210.2816,222.3529,-12.0713,-5.43,-3.0716,-88.9412
200000,212.4220,225.2208,-12.7987,-5.68,-1.7285,-90.0883
225000,209.0146,221.5057,-12.4911,-5.64,-4.6728,-88.6023
250000,207.9988,221.8259,-13.8271,-6.23,-1.7447,-88.7303
