step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,298.5886,411.9708,-113.3822,-27.52,-6.1799,-88.5959
50000,388.3108,413.1482,-24.8374,-6.01,-6.8250,-88.8491
75000,416.9448,405.9069,11.0379,2.72,-3.5771,-87.2918
100000,424.4656,413.8168,10.6488,2.57,-3.8006,-88.9929
125000,424.0213,415.4200,8.6013,2.07,-5.3802,-89.3376
150000,418.7120,418.8180,-0.1061,-0.03,-1.9047,-90.0684
175000,406.3965,414.0138,-7.6173,-1.84,-5.3941,-89.0352
200000,420.6460,418.4731,2.1729,0.52,-2.6116,-89.9942
225000,417.8933,412.6005,5.2928,1.28,-3.6690,-88.7313
250000,426.6631,412.5885,14.0746,3.41,-2.6447,-88.7287
