step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,14.9372,22.1162,-7.1791,-32.46,-0.1309,-47.5618
50000,32.3166,23.6323,8.6843,36.75,-0.2022,-50.8222
75000,40.1518,17.7446,22.4073,126.28,-0.4577,-38.1604
100000,41.5648,26.3328,15.2320,57.84,-0.0718,-56.6297
125000,31.8044,34.4310,-2.6266,-7.63,0.1058,-74.0452
150000,18.7893,32.3580,-13.5686,-41.93,0.0415,-69.5870
175000,25.8188,34.2932,-8.4744,-24.71,0.1567,-73.7487
200000,36.5959,30.5881,6.0078,19.64,-0.0155,-65.7809
225000,40.3356,33.3385,6.9971,20.99,-0.0801,-71.6958
250000,36.7128,34.5138,2.1990,6.37,0.3296,-74.2231
