step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,-1.0416,8.6513,-9.6930,-112.04,0.3704,-46.5124
50000,7.3621,10.1215,-2.7595,-27.26,-0.1235,-54.4169
75000,7.6966,11.7915,-4.0948,-34.73,-0.1068,-63.3951
100000,17.3283,12.2284,5.0998,41.70,-0.6396,-65.7443
125000,23.5927,6.7992,16.7935,246.99,0.0728,-36.5546
150000,17.3023,15.4753,1.8270,11.81,-0.0198,-83.2008
175000,-15.0068,14.9527,-29.9596,-200.36,-0.0580,-80.3911
200000,-19.7105,13.4802,-33.1907,-246.22,0.2254,-72.4744
225000,12.1733,13.9439,-1.7706,-12.70,0.1591,-74.9669
250000,-9.7932,15.0856,-24.8788,-164.92,-0.0558,-81.1054
