step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,-21.0919,0.0000,-21.0919,nan,-3.8086,nan
50000,-17.3829,0.0000,-17.3829,nan,-3.3411,nan
75000,-38.5599,0.0000,-38.5599,nan,-4.8826,nan
100000,-56.9080,0.0000,-56.9080,nan,-3.8358,nan
125000,-87.6489,0.0000,-87.6489,nan,-3.8264,nan
150000,-60.0246,0.0000,-60.0246,nan,-3.8967,nan
175000,-87.9638,0.0000,-87.9638,nan,-4.1474,nan
200000,-60.5481,0.0000,-60.5481,nan,-3.9967,nan
225000,-104.6506,0.0000,-104.6506,nan,-3.3273,nan
250000,-145.1147,0.0000,-145.1147,nan,-3.9547,nan
