step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,293.3341,412.3843,-119.0502,-28.87,-1.6499,-88.6848
50000,389.6690,412.9450,-23.2760,-5.64,-2.6604,-88.8054
75000,413.7124,406.3457,7.3666,1.81,-6.3783,-87.3862
100000,417.5185,413.2873,4.2312,1.02,-2.6619,-88.8790
125000,416.4073,414.6327,1.7746,0.43,-1.6912,-89.1683
150000,426.3591,418.9919,7.3672,1.76,-0.9855,-90.1058
175000,425.8380,414.0960,11.7420,2.84,-2.2679,-89.0529
200000,423.8742,417.8394,6.0348,1.44,-1.0222,-89.8579
225000,421.2998,413.7638,7.5360,1.82,-2.1410,-88.9815
250000,411.8968,412.0206,-0.1238,-0.03,-0.9698,-88.6066
