step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,44.8772,70.9020,-26.0248,-36.71,-1.1663,-76.2387
50000,69.4666,72.0615,-2.5949,-3.60,-0.7666,-77.4855
75000,75.3747,75.2466,0.1281,0.17,-0.8246,-80.9103
100000,69.7356,72.9971,-3.2615,-4.47,-0.8296,-78.4915
125000,159.6043,82.3272,77.2771,93.87,-2.8208,-88.5239
150000,88.4233,75.0524,13.3708,17.82,-2.6408,-80.7016
175000,80.5129,78.6920,1.8209,2.31,-1.0892,-84.6150
200000,60.0674,83.1174,-23.0500,-27.73,-1.1890,-89.3735
225000,-2.4813,63.9801,-66.4615,-103.88,-1.0096,-68.7958
250000,-38.1251,81.9723,-120.0974,-146.51,-0.6938,-88.1423
