step,sigma,phase
1000,0.295,initial_decay
2000,0.29,initial_decay
3000,0.285,initial_decay
4000,0.27999999999999997,initial_decay
5000,0.27499999999999997,initial_decay
6000,0.27,initial_decay
7000,0.265,initial_decay
8000,0.26,initial_decay
9000,0.255,initial_decay
10000,0.25,initial_decay
11000,0.245,initial_decay
12000,0.24,initial_decay
13000,0.235,initial_decay
14000,0.22999999999999998,initial_decay
15000,0.22499999999999998,initial_decay
16000,0.21999999999999997,initial_decay
17000,0.215,initial_decay
18000,0.21,initial_decay
19000,0.20500000000000002,initial_decay
20000,0.2,initial_decay
21000,0.195,initial_decay
22000,0.19,initial_decay
23000,0.185,initial_decay
24000,0.18,initial_decay
25000,0.175,initial_decay
26000,0.16999999999999998,initial_decay
27000,0.16499999999999998,initial_decay
28000,0.16,initial_decay
29000,0.155,initial_decay
30000,0.15,initial_decay
31000,0.145,initial_decay
32000,0.13999999999999999,initial_decay
33000,0.13499999999999998,initial_decay
34000,0.13,initial_decay
35000,0.12499999999999997,initial_decay
36000,0.12,initial_decay
37000,0.11499999999999999,initial_decay
38000,0.11000000000000001,initial_decay
39000,0.10499999999999998,initial_decay
40000,0.1,initial_decay
41000,0.095,initial_decay
42000,0.09,initial_decay
43000,0.08499999999999999,initial_decay
44000,0.08000000000000002,initial_decay
45000,0.07500000000000001,initial_decay
46000,0.06999999999999998,initial_decay
47000,0.065,initial_decay
48000,0.06,initial_decay
49000,0.05499999999999999,initial_decay
50000,0.04999999999999999,initial_decay
51000,0.044999999999999984,initial_decay
52000,0.03999999999999998,initial_decay
53000,0.03500000000000003,initial_decay
54000,0.02999999999999997,initial_decay
55000,0.025000000000000022,initial_decay
56000,0.020000000000000018,initial_decay
57000,0.015000000000000013,initial_decay
58000,0.010000000000000009,initial_decay
59000,0.0050000000000000044,initial_decay
60000,0.0,initial_decay
61000,0.0,floor
62000,0.0,floor
63000,0.0,floor
64000,0.0,floor
65000,0.0,floor
66000,0.0,floor
67000,0.0,floor
68000,0.0,floor
69000,0.0,floor
70000,0.0,floor
71000,0.0,floor
72000,0.0,floor
73000,0.0,floor
74000,0.0,floor
75000,0.0,floor
76000,0.0,floor
77000,0.0,floor
78000,0.0,floor
79000,0.0,floor
80000,0.0,floor
81000,0.0,floor
82000,0.0,floor
83000,0.0,floor
84000,0.0,floor
85000,0.0,floor
86000,0.0,floor
87000,0.0,floor
88000,0.0,floor
89000,0.0,floor
90000,0.0,floor
91000,0.0,floor
92000,0.0,floor
93000,0.0,floor
94000,0.0,floor
95000,0.0,floor
96000,0.0,floor
97000,0.0,floor
98000,0.0,floor
99000,0.0,floor
100000,0.0,floor
101000,0.0,floor
102000,0.0,floor
103000,0.0,floor
104000,0.0,floor
105000,0.0,floor
106000,0.0,floor
107000,0.0,floor
108000,0.0,floor
109000,0.0,floor
110000,0.0,floor
111000,0.0,floor
112000,0.0,floor
113000,0.0,floor
114000,0.0,floor
115000,0.0,floor
116000,0.0,floor
117000,0.0,floor
118000,0.0,floor
119000,0.0,floor
120000,0.0,floor
121000,0.0,floor
122000,0.0,floor
123000,0.0,floor
124000,0.0,floor
125000,0.0,floor
126000,0.0,floor
127000,0.0,floor
128000,0.0,floor
129000,0.0,floor
130000,0.0,floor
131000,0.0,floor
132000,0.0,floor
