step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,0.6513,7.7433,-7.0920,-91.59,-0.2362,-41.6306
50000,8.5510,12.6113,-4.0603,-32.20,0.1369,-67.8025
75000,7.6821,14.7836,-7.1015,-48.04,0.0919,-79.4816
100000,-0.2787,16.1096,-16.3882,-101.73,-0.1038,-86.6105
125000,-9.0899,12.2214,-21.3113,-174.38,-0.4962,-65.7066
150000,4.0305,12.9259,-8.8954,-68.82,0.1512,-69.4940
175000,6.2314,13.4037,-7.1723,-53.51,0.0240,-72.0630
200000,10.4326,3.7253,6.7073,180.05,0.3261,-20.0282
225000,11.2591,11.8147,-0.5556,-4.70,-0.0669,-63.5199
250000,8.3974,13.8476,-5.4502,-39.36,0.1965,-74.4495
