step,q_pred_mean,q_structural,q_inflation,q_inflation_pct,return_realised,log_prob_start
25000,-2.1927,0.0000,-2.1927,nan,-5.9498,nan
50000,-21.4247,0.0000,-21.4247,nan,-0.5072,nan
75000,-7.0142,0.0000,-7.0142,nan,0.1705,nan
100000,-7.6822,0.0000,-7.6822,nan,-0.4261,nan
125000,-9.5453,0.0000,-9.5453,nan,-0.2003,nan
150000,-13.0314,0.0000,-13.0314,nan,-0.0264,nan
175000,-15.6551,0.0000,-15.6551,nan,-0.4336,nan
200000,-17.8237,0.0000,-17.8237,nan,-0.2011,nan
225000,-36.8577,0.0000,-36.8577,nan,-0.5442,nan
250000,-50.3510,0.0000,-50.3510,nan,-1.1558,nan
